Filename,FRCNN_Time_ms,YOLO_Time_ms,Difference_ms
Cardboard119.jpg,211.81,33.57,178.24
Cardboard12.jpg,211.63,33.50,178.13
Cardboard130.jpg,215.18,33.88,181.30
Cardboard131.jpg,213.94,35.82,178.12
Cardboard135.jpg,211.58,32.73,178.85
Cardboard139.jpg,212.98,33.25,179.73
Cardboard141.jpg,215.33,33.26,182.07
Cardboard143.jpg,212.22,33.06,179.16
Cardboard145.jpg,211.76,34.15,177.61
Cardboard146.jpg,213.73,33.31,180.42
Cardboard150.jpg,213.90,32.77,181.13
Cardboard156.jpg,211.36,32.95,178.41
Cardboard163.jpg,211.86,33.11,178.75
Cardboard170.jpg,211.67,33.18,178.49
Cardboard172.jpg,215.53,35.39,180.14
Cardboard174.jpg,212.68,33.04,179.63
Cardboard188.jpg,212.13,32.88,179.25
Cardboard190.jpg,213.70,32.84,180.86
Cardboard196.jpg,213.09,35.31,177.78
Cardboard199.jpg,212.87,33.46,179.42
Cardboard2.jpg,213.86,35.43,178.43
Cardboard20.jpg,214.94,33.95,180.99
Cardboard201.jpg,212.56,32.98,179.58
Cardboard203.jpg,214.94,37.87,177.07
Cardboard206.jpg,212.94,35.58,177.37
Cardboard211.jpg,211.65,32.89,178.76
Cardboard220.jpg,213.94,33.39,180.55
Cardboard221.jpg,213.20,32.94,180.25
Cardboard225.jpg,212.80,35.29,177.52
Cardboard227.jpg,213.59,35.48,178.11
Cardboard232.jpg,225.92,33.41,192.50
Cardboard234.jpg,213.74,32.81,180.94
Cardboard254.jpg,215.38,32.97,182.41
Cardboard256.jpg,212.15,34.04,178.11
Cardboard258.jpg,213.14,32.68,180.46
Cardboard262.jpg,214.35,34.38,179.98
Cardboard264.jpg,211.34,35.33,176.01
Cardboard266.jpg,218.44,34.21,184.23
Cardboard267.jpg,212.33,32.94,179.39
Cardboard27.jpg,211.19,32.74,178.45
Cardboard273.jpg,213.11,33.52,179.60
Cardboard274.jpg,213.23,32.77,180.46
Cardboard292.jpg,212.13,35.11,177.02
Cardboard294.jpg,214.49,34.15,180.34
Cardboard305.jpg,213.06,36.80,176.26
Cardboard308.jpg,214.45,33.77,180.68
Cardboard310.jpg,223.19,33.52,189.67
Cardboard331.jpg,216.54,33.52,183.02
Cardboard346.jpg,213.67,33.95,179.72
Cardboard350.jpg,216.27,34.83,181.44
Cardboard353.jpg,214.29,33.62,180.67
Cardboard358.jpg,215.83,35.47,180.36
Cardboard365.jpg,217.12,34.92,182.20
Cardboard370.jpg,214.72,33.99,180.73
Cardboard371.jpg,212.74,36.87,175.88
Cardboard39.jpg,210.73,33.56,177.17
Cardboard4.jpg,212.31,34.82,177.49
Cardboard46.jpg,212.77,35.37,177.40
Cardboard52.jpg,213.72,33.71,180.01
Cardboard56.jpg,215.76,34.55,181.21
Cardboard60.jpg,214.54,33.65,180.89
Cardboard62.jpg,214.04,33.42,180.62
Cardboard68.jpg,213.27,33.96,179.31
Cardboard72.jpg,212.13,33.27,178.86
Cardboard73.jpg,212.94,33.37,179.57
Cardboard83.jpg,211.93,37.26,174.67
Cardboard85.jpg,219.70,33.11,186.59
Cardboard88.jpg,212.90,33.80,179.09
Cardboard90.jpg,216.33,33.35,182.98
Cardboard92.jpg,214.81,33.84,180.98
Glass10.jpg,214.73,34.22,180.52
Glass102.jpg,215.93,33.95,181.99
Glass11.jpg,213.52,35.60,177.92
Glass115.jpg,216.55,32.91,183.65
Glass116.jpg,212.79,33.65,179.14
Glass117.jpg,213.73,32.87,180.85
Glass118.jpg,214.07,36.49,177.58
Glass119.jpg,213.42,33.00,180.42
Glass122.jpg,213.35,32.75,180.60
Glass133.jpg,215.20,33.02,182.18
Glass141.jpg,211.48,33.73,177.75
Glass146.jpg,216.83,34.92,181.91
Glass148.jpg,216.50,33.00,183.50
Glass149.jpg,212.44,32.75,179.69
Glass150.jpg,212.60,32.99,179.61
Glass152.jpg,213.28,33.16,180.12
Glass158.jpg,212.23,32.51,179.72
Glass159.jpg,215.09,33.06,182.03
Glass167.jpg,212.81,32.60,180.21
Glass168.jpg,211.35,33.89,177.46
Glass170.jpg,212.28,32.64,179.64
Glass172.jpg,212.22,32.74,179.48
Glass173.jpg,211.85,33.94,177.91
Glass174.jpg,212.56,33.55,179.01
Glass180.jpg,212.52,33.77,178.74
Glass181.jpg,216.23,33.23,183.01
Glass193.jpg,224.35,33.27,191.08
Glass196.jpg,211.43,33.90,177.53
Glass200.jpg,212.84,33.01,179.83
Glass208.jpg,218.17,33.54,184.63
Glass213.jpg,212.35,33.89,178.46
Glass214.jpg,211.29,33.66,177.63
Glass22.jpg,212.06,31.39,180.67
Glass220.jpg,212.58,33.16,179.42
Glass221.jpg,212.80,32.72,180.08
Glass224.jpg,212.63,33.75,178.88
Glass226.jpg,212.22,35.82,176.40
Glass229.jpg,216.40,33.86,182.55
Glass240.jpg,216.90,34.54,182.36
Glass252.jpg,214.29,32.65,181.64
Glass257.jpg,212.60,34.85,177.75
Glass262.jpg,213.83,38.17,175.66
Glass264.jpg,217.86,39.20,178.66
Glass267.jpg,220.13,41.33,178.80
Glass27.jpg,228.42,41.85,186.57
Glass275.jpg,220.03,37.06,182.97
Glass287.jpg,218.08,36.52,181.56
Glass289.jpg,218.73,37.13,181.60
Glass29.jpg,221.01,40.26,180.75
Glass294.jpg,219.34,38.50,180.84
Glass296.jpg,219.23,38.96,180.27
Glass298.jpg,219.80,36.57,183.24
Glass302.jpg,221.22,36.71,184.51
Glass315.jpg,221.95,41.05,180.91
Glass324.jpg,229.82,39.11,190.71
Glass35.jpg,224.84,39.27,185.57
Glass54.jpg,220.13,35.82,184.31
Glass57.jpg,222.53,41.94,180.59
Glass58.jpg,219.06,34.27,184.79
Glass61.jpg,220.22,33.63,186.60
Glass76.jpg,212.51,33.15,179.36
Glass80.jpg,220.24,35.17,185.07
Glass81.jpg,224.73,34.09,190.64
Glass92.jpg,215.56,33.65,181.91
Glass96.jpg,223.52,34.28,189.24
Glass97.jpg,215.55,32.63,182.92
Metal104.jpg,211.71,32.96,178.75
Metal108.jpg,216.49,33.31,183.18
Metal110.jpg,212.53,33.19,179.34
Metal112.jpg,213.11,33.30,179.80
Metal117.jpg,211.63,34.18,177.45
Metal118.jpg,215.68,32.78,182.90
Metal122.jpg,212.26,34.05,178.22
Metal130.jpg,213.36,32.92,180.44
Metal133.jpg,213.82,32.78,181.04
Metal146.jpg,212.33,36.30,176.03
Metal148.jpg,223.66,33.31,190.35
Metal149.jpg,212.60,33.17,179.44
Metal151.jpg,212.94,35.23,177.71
Metal154.jpg,213.40,33.58,179.82
Metal157.jpg,215.93,34.17,181.76
Metal17.jpg,211.89,33.11,178.78
Metal174.jpg,215.16,33.43,181.72
Metal176.jpg,212.32,33.15,179.17
Metal180.jpg,213.11,33.33,179.78
Metal190.jpg,211.22,33.76,177.45
Metal191.jpg,213.00,32.68,180.32
Metal2.jpg,212.41,32.79,179.62
Metal201.jpg,212.39,33.37,179.01
Metal209.jpg,217.22,33.24,183.98
Metal210.jpg,212.56,33.81,178.76
Metal212.jpg,211.48,33.92,177.56
Metal217.jpg,212.98,33.80,179.18
Metal222.jpg,212.82,34.71,178.11
Metal223.jpg,213.64,33.99,179.64
Metal238.jpg,213.44,34.92,178.53
Metal242.jpg,212.59,33.94,178.65
Metal256.jpg,225.52,36.85,188.67
Metal259.jpg,213.02,33.23,179.79
Metal260.jpg,213.81,32.89,180.92
Metal266.jpg,214.94,33.21,181.73
Metal269.jpg,212.04,33.08,178.96
Metal27.jpg,212.56,33.95,178.61
Metal272.jpg,212.88,33.09,179.79
Metal282.jpg,212.25,33.09,179.15
Metal293.jpg,212.53,33.11,179.43
Metal297.jpg,212.95,33.58,179.36
Metal299.jpg,215.45,33.62,181.83
Metal3.jpg,211.85,32.99,178.85
Metal30.jpg,213.16,33.83,179.33
Metal310.jpg,212.46,34.25,178.21
Metal313.jpg,216.02,37.08,178.93
Metal317.jpg,217.94,35.83,182.11
Metal321.jpg,214.46,33.36,181.10
Metal324.jpg,212.67,33.54,179.13
Metal332.jpg,211.94,33.62,178.32
Metal34.jpg,214.04,35.70,178.35
Metal38.jpg,213.00,35.11,177.89
Metal40.jpg,214.98,33.00,181.98
Metal41.jpg,212.68,33.38,179.30
Metal52.jpg,211.69,33.00,178.69
Metal53.jpg,213.87,33.26,180.61
Metal58.jpg,216.12,33.57,182.55
Metal6.jpg,211.40,32.92,178.48
Metal72.jpg,211.91,33.47,178.44
Metal73.jpg,212.61,33.09,179.52
Metal77.jpg,227.91,33.52,194.39
Metal8.jpg,212.49,33.17,179.32
Metal80.jpg,213.21,32.99,180.22
Metal83.jpg,213.75,32.60,181.15
Metal87.jpg,210.61,33.29,177.32
Metal92.jpg,212.37,33.66,178.71
Metal93.jpg,214.39,32.51,181.88
Metal94.jpg,212.87,33.01,179.86
Paper10.jpg,217.45,33.40,184.05
Paper105.jpg,212.52,33.19,179.33
Paper111.jpg,213.47,33.20,180.27
Paper119.jpg,212.62,32.88,179.74
Paper122.jpg,211.09,35.31,175.78
Paper130.jpg,213.48,33.42,180.06
Paper141.jpg,212.77,33.24,179.53
Paper151.jpg,214.21,33.54,180.67
Paper153.jpg,212.35,33.40,178.95
Paper155.jpg,212.13,32.88,179.25
Paper16.jpg,225.46,36.75,188.71
Paper161.jpg,212.79,32.81,179.98
Paper166.jpg,215.75,33.02,182.73
Paper168.jpg,212.51,33.25,179.26
Paper17.jpg,212.63,34.20,178.43
Paper172.jpg,214.11,32.73,181.37
Paper186.jpg,208.31,32.30,176.01
Paper187.jpg,207.86,32.53,175.33
Paper193.jpg,208.42,32.27,176.15
Paper202.jpg,205.97,32.52,173.45
Paper206.jpg,214.89,33.21,181.68
Paper209.jpg,209.13,32.63,176.50
Paper210.jpg,206.03,32.48,173.56
Paper221.jpg,207.92,34.85,173.07
Paper224.jpg,209.70,33.02,176.68
Paper226.jpg,206.96,33.43,173.53
Paper229.jpg,209.50,32.53,176.97
Paper231.jpg,207.97,32.84,175.13
Paper233.jpg,208.20,32.81,175.40
Paper236.jpg,206.86,32.55,174.31
Paper242.jpg,207.25,32.02,175.23
Paper247.jpg,215.09,33.84,181.25
Paper252.jpg,210.58,34.94,175.64
Paper256.jpg,209.89,32.34,177.55
Paper258.jpg,206.56,32.80,173.76
Paper273.jpg,207.57,32.16,175.40
Paper276.jpg,210.85,32.73,178.12
Paper287.jpg,210.51,33.65,176.85
Paper289.jpg,209.73,33.32,176.41
Paper290.jpg,207.73,32.97,174.75
Paper300.jpg,207.86,32.79,175.07
Paper302.jpg,207.17,32.80,174.37
Paper304.jpg,219.68,33.97,185.71
Paper309.jpg,206.58,32.77,173.81
Paper311.jpg,207.69,32.81,174.88
Paper316.jpg,208.06,32.87,175.19
Paper321.jpg,207.26,32.86,174.40
Paper322.jpg,209.28,35.55,173.74
Paper324.jpg,207.86,33.05,174.80
Paper329.jpg,207.58,32.94,174.64
Paper332.jpg,208.57,32.90,175.66
Paper333.jpg,215.12,35.89,179.24
Paper42.jpg,206.48,32.64,173.84
Paper45.jpg,211.15,32.63,178.52
Paper48.jpg,212.15,33.62,178.54
Paper49.jpg,209.96,33.66,176.30
Paper64.jpg,207.85,33.91,173.94
Paper67.jpg,206.83,32.83,174.01
Paper7.jpg,209.07,33.16,175.91
Paper70.jpg,207.14,32.30,174.85
Paper72.jpg,206.76,33.29,173.47
Paper75.jpg,207.33,32.31,175.02
Paper81.jpg,206.01,34.82,171.19
Paper83.jpg,206.36,32.70,173.66
Paper85.jpg,206.61,32.21,174.40
Paper86.jpg,206.22,32.26,173.96
Paper95.jpg,207.14,32.73,174.41
Paper99.jpg,207.29,33.06,174.22
Plastic10.jpg,208.94,32.96,175.98
Plastic105.jpg,207.56,32.74,174.83
Plastic106.jpg,206.34,33.81,172.53
Plastic110.jpg,208.67,31.71,176.96
Plastic112.jpg,206.58,32.46,174.12
Plastic119.jpg,210.09,32.92,177.17
Plastic122.jpg,207.40,32.64,174.76
Plastic127.jpg,206.10,32.16,173.94
Plastic128.jpg,206.25,32.61,173.65
Plastic129.jpg,206.93,32.11,174.82
Plastic132.jpg,215.64,32.76,182.88
Plastic136.jpg,206.64,32.60,174.05
Plastic144.jpg,207.82,32.20,175.62
Plastic149.jpg,206.62,32.72,173.90
Plastic15.jpg,207.15,32.84,174.31
Plastic151.jpg,208.43,32.62,175.81
Plastic157.jpg,206.93,34.30,172.62
Plastic159.jpg,206.89,39.23,167.67
Plastic16.jpg,221.81,35.02,186.79
Plastic166.jpg,206.78,32.54,174.24
Plastic167.jpg,206.97,33.43,173.54
Plastic18.jpg,209.41,33.14,176.27
Plastic199.jpg,209.49,32.15,177.34
Plastic200.jpg,206.94,35.67,171.28
Plastic206.jpg,223.70,32.53,191.17
Plastic208.jpg,209.00,32.89,176.11
Plastic214.jpg,211.77,32.37,179.40
Plastic220.jpg,208.68,32.72,175.96
Plastic225.jpg,207.02,32.34,174.68
Plastic226.jpg,208.21,32.44,175.77
Plastic234.jpg,207.97,32.97,174.99
Plastic238.jpg,207.45,33.56,173.89
Plastic247.jpg,207.27,32.88,174.39
Plastic248.jpg,208.58,32.52,176.05
Plastic249.jpg,211.34,33.02,178.32
Plastic250.jpg,208.20,32.41,175.80
Plastic264.jpg,211.27,32.92,178.35
Plastic266.jpg,206.11,32.68,173.43
Plastic275.jpg,207.68,32.75,174.93
Plastic284.jpg,208.25,32.30,175.95
Plastic293.jpg,207.48,33.69,173.79
Plastic296.jpg,206.13,32.50,173.62
Plastic298.jpg,206.70,32.35,174.35
Plastic303.jpg,210.93,32.97,177.96
Plastic305.jpg,208.03,33.10,174.93
Plastic307.jpg,209.11,32.37,176.74
Plastic308.jpg,207.09,32.75,174.34
Plastic31.jpg,209.61,32.51,177.10
Plastic318.jpg,207.15,35.28,171.86
Plastic32.jpg,210.43,32.92,177.51
Plastic325.jpg,207.30,32.61,174.69
Plastic330.jpg,208.69,32.52,176.17
Plastic331.jpg,207.29,32.15,175.14
Plastic335.jpg,209.13,32.62,176.51
Plastic339.jpg,208.19,32.51,175.68
Plastic341.jpg,212.55,33.38,179.16
Plastic343.jpg,211.70,32.86,178.84
Plastic36.jpg,206.81,33.64,173.17
Plastic4.jpg,207.37,33.58,173.79
Plastic46.jpg,208.68,33.65,175.02
Plastic58.jpg,208.12,32.46,175.66
Plastic59.jpg,210.72,33.98,176.74
Plastic60.jpg,207.26,32.58,174.67
Plastic62.jpg,208.21,32.76,175.45
Plastic67.jpg,208.16,32.53,175.64
Plastic73.jpg,206.90,32.93,173.97
Plastic76.jpg,208.61,33.99,174.62
Plastic88.jpg,208.89,32.50,176.39
Plastic95.jpg,206.46,32.41,174.05
Plastic98.jpg,207.22,32.19,175.03
Trash107.jpg,211.52,34.27,177.25
Trash116.jpg,207.90,32.61,175.29
Trash117.jpg,207.17,32.56,174.62
Trash122.jpg,208.30,33.34,174.95
Trash127.jpg,216.99,34.32,182.66
Trash129.jpg,216.04,33.20,182.83
Trash134.jpg,209.01,32.94,176.07
Trash136.jpg,206.20,34.70,171.49
Trash138.jpg,207.29,33.21,174.08
Trash141.jpg,212.06,33.18,178.88
Trash142.jpg,207.74,33.01,174.73
Trash145.jpg,208.74,33.10,175.64
Trash146.jpg,209.58,35.36,174.22
Trash158.jpg,208.10,40.29,167.81
Trash159.jpg,212.54,33.48,179.06
Trash162.jpg,212.23,33.98,178.25
Trash164.jpg,212.19,35.85,176.34
Trash168.jpg,209.38,32.66,176.72
Trash169.jpg,208.98,34.44,174.54
Trash170.jpg,208.13,33.08,175.06
Trash172.jpg,207.62,34.84,172.78
Trash179.jpg,207.31,47.11,160.21
Trash182.jpg,211.07,35.36,175.71
Trash188.jpg,212.60,34.47,178.13
Trash198.jpg,206.87,33.43,173.44
Trash202.jpg,213.66,33.99,179.68
Trash212.jpg,220.60,32.43,188.17
Trash215.jpg,209.20,33.19,176.01
Trash229.jpg,208.22,33.15,175.07
Trash23.jpg,209.07,32.71,176.35
Trash235.jpg,206.86,32.61,174.25
Trash241.jpg,209.85,33.90,175.95
Trash250.jpg,208.07,33.32,174.75
Trash252.jpg,206.78,33.71,173.08
